customer_city,item_revenue,share,cum_share,rank
Guarai,1156.6,8.783391985763558e-05,0.9243617082806165,1101
Jaguaruana,1155.15,8.772380470650853e-05,0.924449432085323,1102
Itaqui,1154.38,8.766532976418587e-05,0.9245370974150873,1103
Areal,1152.18,8.749825850040687e-05,0.9246245956735877,1104
Sao Lourenco Da Serra,1151.95,8.74807919591936e-05,0.9247120764655469,1105
Urupes,1150.14,8.73433378739936e-05,0.9247994198034208,1106
Sao Bento,1148.89,8.724841101957371e-05,0.9248866682144404,1107
Salesopolis,1146.52,8.706842970359359e-05,0.9249737366441441,1108
Arapora,1144.3799999999999,8.690591492882673e-05,0.9250606425590729,1109
Conceicao Do Araguaia,1143.8899999999999,8.686870360189414e-05,0.9251475112626748,1110
Forquilhinha,1143.85,8.68656659425527e-05,0.9252343769286173,1111
Carandai,1143.5,8.683908642331515e-05,0.9253212160150406,1112
Uruana,1142.29,8.674719722823669e-05,0.9254079632122688,1113
Santo Antonio Da Platina,1140.61,8.661961553589635e-05,0.9254945828278047,1114
Terra De Areia,1137.29,8.636748981055713e-05,0.9255809503176153,1115
Celso Ramos,1136.79,8.632951906878918e-05,0.9256672798366842,1116
Catu De Abrantes,1135.99,8.626876588196045e-05,0.9257535486025661,1117
Camacan,1134.67,8.616852312369305e-05,0.9258397171256898,1118
Guaraci,1131.6999999999998,8.594297691759138e-05,0.9259256601026074,1119
Jijoca De Jericoacoara,1130.9,8.588222373076266e-05,0.9260115423263381,1120
Casa Branca,1130.58,8.585792245603116e-05,0.9260974002487942,1121
Santo Antonio Do Pinhal,1128.9,8.573034076369083e-05,0.9261831305895578,1122
Igarassu,1127.48,8.562250385706984e-05,0.9262687530934148,1123
Papucaia,1126.77,8.556858540375934e-05,0.9263543216788186,1124
Casa Nova,1126.19,8.552453934330852e-05,0.9264398462181619,1125
Delmiro Gouveia,1125.8,8.54949221647295e-05,0.9265253411403266,1126
Aripuana,1124.78,8.541746185152287e-05,0.9266107586021781,1127
Timon,1123.72,8.533696387897482e-05,0.9266960955660571,1128
Turmalina,1121.69,8.518280266739692e-05,0.9267812783687246,1129
Rio Negrinho,1121.19,8.514483192562895e-05,0.9268664232006503,1130
Itapipoca,1121.08,8.513647836244e-05,0.9269515596790127,1131
Dourado,1120.33,8.507952224978806e-05,0.9270366392012624,1132
Sao Joaquim,1118.98,8.497700124701459e-05,0.9271216162025094,1133
Inhambupe,1117.78,8.488587146677149e-05,0.9272065020739763,1134
Santa Teresa,1117.36,8.485397604368641e-05,0.92729135605002,1135
Goitacazes,1116.3400000000001,8.47765157304798e-05,0.9273761325657505,1136
Santo Augusto,1115.08,8.468082946122453e-05,0.9274608133952117,1137
Maracai,1114.58,8.464285871945657e-05,0.9275454562539311,1138
Butia,1112.69,8.44993293155737e-05,0.9276299555832467,1139
Monte Belo,1109.78,8.427833959848419e-05,0.9277142339228451,1140
Chapadao Do Ceu,1108.57,8.418645040340574e-05,0.9277984203732486,1141
Nova Roma Do Sul,1106.99,8.406646285941901e-05,0.927882486836108,1142
Herval D'Oeste,1106.74,8.404747748853503e-05,0.9279665343135965,1143
Entre Rios,1103.4,8.379383293352509e-05,0.9280503281465301,1144
Mundo Novo,1102.99,8.376269692527536e-05,0.9281340908434553,1145
Prata,1099.48,8.34961423180643e-05,0.9282175869857734,1146
Caicara Do Norte,1099.0,8.345969040596707e-05,0.9283010466761794,1147
Santo Antonio Do Aracangua,1099.0,8.345969040596707e-05,0.9283845063665854,1148
